@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Site
@data
7.0, 4.0, 33.02329859813287, 4.002490579849689, 58.963855297063446, 35.0, 44.0, cp
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, cp
25.0, 48.0, 48.0, 5.0, 58.97128478693107, 17.0, 47.83157091746842, cp
51.0, 19.104287357792327, 48.0, 2.1133417610808607, 41.0, 34.0, 43.0, cp
36.0, 39.0, 13.102171638072974, 5.0, 48.0, 23.395229782069855, 23.0, cp
25.0, 84.26690451527641, 48.0, 5.0, 47.0, 33.0, 42.0, cp
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, cp
24.0, 35.0, 48.0, 5.0, 31.0, 54.87923638822493, 45.14701099394518, cp
4.0, 5.0, 48.0, 2.33485428274955, 45.0, 39.0, 47.0, cp
88.51336557569759, 4.0, 17.365902907998745, 5.0, 55.97301203011838, 28.0, 39.0, cp
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, cp
18.0, 3.0, 46.23082290222655, 5.0, 46.0, 24.0, 35.0, cp
44.0, 51.0, 31.460828570989154, 4.4207324523992675, 47.0, 26.0, 26.27269323642195, cp
48.0, 42.0, 48.0, 5.0, 45.0, 11.056110297575618, 35.0, cp
41.0, 83.9613266091238, 48.0, 5.0, 45.0, 31.0, 41.0, cp
34.0, 55.0, 48.0, 5.0, 58.0, 11.57540600620569, 41.0, cp
53.0, 42.0, 48.0, 1.7927214989421705, 16.0, 29.0, 39.0, cp
11.075295807578437, 76.0, 19.174756744917193, 5.0, 55.68786555893902, 35.0, 38.0, cp
57.0, 82.41403943496151, 48.0, 4.804306550837193, 37.0, 28.0, 3.5417275129681753, cp
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, cp
4.0, 46.0, 48.0, 5.0, 42.0, 86.62395691397226, 44.0, cp
61.3632580345411, 23.99954611854617, 48.0, 5.0, 43.0, 26.0, 37.0, cp
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, cp
17.0, 52.0, 48.0, 5.0, 16.077246300894124, 93.84696710734791, 72.13272732150106, cp
36.0, 73.39797478900243, 48.0, 5.0, 53.0, 32.0, 41.0, cp
2.4801925989985913, 41.0, 46.9618308383417, 5.0, 55.0, 22.0, 33.0, cp
22.0, 34.0, 48.0, 5.0, 14.948074482136425, 29.0, 39.0, cp
27.0, 42.0, 17.49814147350801, 5.0, 37.0, 38.0, 43.0, cp
6.0, 61.0, 48.0, 5.0, 79.10668879167798, 92.0, 37.0, im
63.0, 22.754857072782436, 48.0, 5.0, 63.2127181364253, 82.0, 86.38446781164605, im
55.0, 47.0, 48.0, 4.224868040351399, 63.20414297822959, 1.2549330865160873, 80.01407314907155, im
47.0, 55.0, 48.0, 5.0, 58.0, 71.0, 51.44540460953615, im
47.0, 61.21045783655961, 48.0, 5.0, 52.0, 76.0, 79.0, im
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, im
31.0, 5.0, 48.0, 5.0, 57.0, 84.0, 98.3721973340428, im
