@relation  glass
@attribute RI real[1.51115,1.53393]
@attribute Na real[10.73,17.38]
@attribute Mg real[0.0,4.49]
@attribute Al real[0.29,3.5]
@attribute Si real[69.81,75.41]
@attribute K real[0.0,6.21]
@attribute Ca real[5.43,16.19]
@attribute Ba real[0.0,3.15]
@attribute Fe real[0.0,0.51]
@attribute TypeGlass{1,2,3,4,5,6,7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs TypeGlass
@data
1.5176423, 12.9777, 3.53812, 2.356462080673422, 72.97665552499859, 0.0023437296814154203, 8.52888, 0.0, 0.0, 1
1.51755118, 13.1506, 3.60996, 1.05077, 73.2372, 0.57132, 8.23836, 0.0, 0.20258454139637402, 1
1.5203944780643015, 13.106884878165294, 3.958102462549718, 1.23053, 72.078, 0.58995, 8.90548, 0.0, 0.0, 1
1.51976084, 13.80895, 3.57853, 1.32041, 71.7196, 0.11799, 8.66876, 0.68985, 0.0, 1
1.51761952, 13.88875, 3.60098, 2.5737734148334184, 72.7276, 0.47817, 7.82948, 0.0, 0.0, 1
1.52210718, 13.72915, 3.83895, 0.8302281488734828, 71.7588, 0.16767, 9.74476, 0.0, 0.0, 1
1.51919134, 14.417, 3.57853, 2.3738832196509194, 73.20019130063015, 1.2487593176562244, 8.30292, 0.0, 0.0, 1
1.51595658, 12.7915, 3.60996, 1.61894, 72.9684, 1.0285171740358967, 8.0662, 0.0, 0.1326, 1
1.51910022, 13.88875, 0.7442570288745355, 1.32041, 71.8092, 0.50922, 8.77636, 1.987561567462413, 0.22784263738147975, 1
1.51869018, 13.265945455971162, 3.37199, 1.17917, 74.48447080590633, 0.57132, 8.83016, 0.42771456496038346, 0.0816, 1
1.52101374, 13.6427, 4.49, 1.09892, 71.7812, 0.0621, 8.75484, 0.0, 0.0, 1
1.5151279102536053, 12.001097256213217, 0.20096106867561145, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, 1
1.5174145, 13.2703, 3.61894, 1.24016, 73.0804, 0.55269, 8.0662, 0.0, 0.435485101979106, 1
1.5115432296836036, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, 1
1.5159338, 13.09075, 3.52016, 1.55153, 72.8676, 2.2984543564213564, 8.04468, 0.0, 0.459, 2
1.51588824, 13.11735, 3.40791, 1.58042, 73.2596, 0.06831, 11.987970029636745, 0.0, 0.0969, 2
1.52408904, 13.8289, 2.2543826247738634, 1.16954, 71.1484, 0.08073, 10.78848, 0.0, 0.0962916427818806, 2
1.51652608, 14.029836007878146, 3.56955, 1.47128, 69.97894360803276, 0.63963, 7.9586, 0.0, 0.0, 2
1.51812068, 13.4299, 3.97814, 1.17917, 70.26276448550931, 0.57753, 8.15228, 1.0927919683961178, 0.5095594025984312, 2
1.5166172, 12.85135, 3.51118, 1.43918, 73.0076, 0.6831, 8.2276, 0.5985, 0.1275, 2
1.51572878, 14.85965, 3.66833, 1.74092, 71.8708, 0.16146, 7.35604, 0.0, 0.0612, 2
1.5204159938294082, 13.520219438248365, 3.79854, 1.07966, 73.0692, 0.5589, 8.37824, 2.2563781420598685, 0.36528429747915, 2
1.51568322, 14.694673306144464, 0.9685170595460845, 0.7061870794059213, 75.30728187040827, 0.37881, 8.03392, 0.0, 0.0, 2
1.53124196, 10.73, 0.0, 2.10044, 69.81, 0.57753, 13.47998112622881, 0.005559564243433896, 0.1428, 2
1.52067204, 13.5496, 2.08785, 1.6703, 72.1788, 0.52785, 9.5726, 0.2709, 0.0867, 2
1.5177562, 13.52965, 3.40791, 1.51943, 72.0388, 0.57753, 9.034586472046698, 0.0, 0.0, 3
1.529811564001064, 13.1373, 3.44832, 1.76018, 72.4812, 0.60237, 15.756758618859287, 0.0, 0.0867, 3
1.51609326, 13.42325, 3.39893, 1.0420783861614946, 72.6884, 0.58995, 7.103608425695824, 0.0, 0.0, 3
1.5215149, 11.02925, 0.7472194708458193, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, 5
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 2.03843265097319, 11.31572, 0.7189313877068766, 0.0, 5
1.52171992, 13.028411523073077, 0.4414494325340375, 1.3490708899425974, 72.862, 0.47196, 11.41256, 0.0, 0.3988575376288168, 5
1.51937358, 13.789, 2.521306069630968, 1.1888, 72.7612, 0.0, 9.76628, 0.0, 0.0, 6
1.51130946, 13.68925, 3.20137, 1.81154, 72.8116, 1.75743, 13.038090422956294, 1.1907, 0.0, 7
1.5175514760155187, 14.883839423415214, 0.0, 1.93994, 73.07950711814442, 0.0, 8.47508, 1.5687, 0.0, 7
1.5151365, 14.853, 0.0, 2.42144, 73.7188, 0.0, 8.908315815748255, 3.017452530147846, 0.0, 7
1.5304828343152936, 14.2013, 0.0, 2.79059, 74.94495194938382, 2.622915923898787, 9.04536, 0.40005, 0.459, 7
1.51830292, 16.36721588011533, 0.0, 1.82117, 72.862, 2.5787157800325, 10.16693676184326, 2.8791, 0.0, 7
1.5143401766923792, 14.95275, 0.0, 1.7987, 71.28962925319551, 0.0, 8.61496, 1.5498, 0.26370838429166665, 7
1.51709558, 12.99765, 3.47077, 1.78907, 72.722, 0.65826, 8.18456, 2.3724717135477045, 0.0, 2
1.51689056, 12.6718, 2.87809, 3.154589316804099, 73.2092, 2.728704176314339, 8.53964, 0.0, 0.0, 2
1.5266404, 11.22875, 0.0, 1.0888566478548702, 73.2092, 0.0, 15.631705838488813, 0.0, 0.0, 2
1.5150470982857043, 12.95775, 2.95891, 1.42955, 72.918, 0.60237, 8.78712, 0.1386, 0.24058009326005822, 2
1.51916856, 14.1481, 1.123886366007823, 2.09081, 72.7388, 4.652384249435827, 10.88532, 2.596412697328816, 0.0, 6
