@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 0.023, -0.006, -0.2054678726022755, -0.119, -0.008, -0.118, 0.147, 0.6429756352778002, 0.038, -0.063, 0.0, 0.0, -0.046, -0.08450605140172551, -0.003, -0.8160028601568199, -0.116, 0.4633041879775246, 0.018, 0.037, 0.26460323512195694, 0.7255862606050414, 0.035, -0.015, -0.032, 0.8170309266580806, -0.079, -0.6802507894300509, 0.41825450151652444, 0.0, -0.0, 0.12, b
1, 0.976, -0.106, 0.946, -0.208, 0.6353796091013075, -0.284, 0.86, -0.273, -0.2591862625580249, -0.479, 0.782, -0.508, 0.746, -0.614, 0.579, -0.681, -0.9105754159182718, -0.736, 0.363, -0.766, 0.319, -0.798, 0.228, -0.816, 0.137, -0.825, 0.046, -0.824, -0.043, -0.813, -0.138, -0.81, g
0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, -0.7250312431075217, 0.0, 0.0, 1.0, 1.0, -0.2094916955589996, -1.0, 0.0, 0.0, 0.0, 0.5920520381983492, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -0.9699587221187443, 0.836573144848592, 0.0, b
0, -0.5755846229325012, -0.867, -0.11627966144966884, 0.223, 0.6804555015825795, -0.399, 1.0, -0.121, 1.0, 0.351, 1.0, 0.078, 1.0, -0.148, 1.0, 0.1105003098748858, 1.0, -1.0, 0.618, 0.158, -0.37722772857575393, 0.623, 1.0, -0.3296073329005408, 1.0, 0.359, 1.0, -0.23222228866820738, 1.0, 0.6565535863993115, 1.0, -0.188, b
1, 1.0, 0.7662073797001987, 1.0, 0.36583773404495745, 0.13905029537599778, -0.056, -0.7295612189289092, -0.38673218930762543, 1.0, 0.197, 1.0, 0.203, 1.0, 0.5071757835119906, 1.0, 0.106, -0.006853884786100606, 0.271, 1.0, 0.4773550842603098, 1.0, -0.35192189164271626, 1.0, 0.2, 1.0, 0.367, 0.956, 0.486, 1.0, 0.325, 1.0, 0.467, g
0, 0.0, 0.0, 0.4042881162381471, -0.44469016963725216, 0.7489366428342035, 1.0, -1.0, -0.1332801508561895, -1.0, 1.0, 1.0, 0.06571391855033903, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -0.9946235315861701, 1.0, -1.0, 1.0, 1.0, -1.0, 0.22870469634158175, 1.0, -1.0, 0.09244651698797157, 1.0, -1.0, b
0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, -0.719, 1.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.68699764965265, 0.255989556027574, 1.0, 1.0, -0.6509558022140889, 0.5399738991493299, -1.0, 1.0, 1.0, 1.0, -0.14111506499841697, b
1, -0.24982191837621437, -0.006, 1.0, -0.098, 1.0, -0.076, 1.0, -0.106, 1.0, -0.111, 1.0, -0.395, 0.2215628370692866, -0.156, 0.921, -0.319, 0.865, -0.345, 0.9780813325145472, -0.441, 0.961, -0.469, 0.819, -0.404, 0.827, -0.422, 0.758, -0.382, 0.804, -0.406, 0.744, -0.45, g
1, 1.0, -0.062, -0.6194346359976182, 0.029, 1.0, -0.9037043275087383, 1.0, -0.6989155657819741, 1.0, -0.117, 0.845, -0.052, 0.934, 0.8166095711795169, 0.692, 0.03362521041036248, 0.657, -0.3974045332049496, 0.949, -0.316, 0.809, -0.317, 0.849, -0.0232597843332355, 0.725, -0.292, 0.731, -0.386, 0.544, -0.263, 0.642, -0.395, g
1, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.018, -0.7156172934257465, -0.9364235880636665, -0.9970318754196706, 1.0, 1.0, -0.856, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 1.0, 1.0, -0.3982303415886663, -0.791, -0.9375362200517059, 1.0, 1.0, 1.0, b
1, 0.882, -0.146, 0.934, -0.111, 0.921, -0.164, 0.883, -0.17, 0.885, -0.318, 0.853, 0.04488611525038411, 0.821, -0.359, 0.807, -0.336, 0.752, -0.47, 0.706, -0.472, 0.662, -0.501, 0.613, -0.481, 0.568, -0.39403530103015605, 0.502, -0.599, 0.471, -0.574, 0.422, -0.581, g
1, 0.4119455007398374, 0.043, -0.15482498126915312, 0.023, 0.947, 0.053, 0.936, 0.013, 0.2798680260963431, 0.063, 0.928, 0.121, -0.7700823470414808, 0.062, 0.889, 0.127, 0.837, 0.144, 0.81, 0.3268121819307124, 0.77, -0.06209560648121304, 0.758, 0.113, -0.5797056950581506, 0.133, 0.664, 0.6902167069935745, 0.709, 0.108, 0.653, 0.114, g
0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.6214859331076699, 1.0, 1.0, -1.0, 0.6927493325650573, -0.4777081309532999, -1.0, -1.0, 1.0, 0.0, -0.23042649292164163, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, b
1, 0.957, 0.081, 0.975, -0.9104614453181767, -0.26434553118058146, -0.8230644417514709, 0.961, 0.3147441272890996, 0.947, -0.4241650489680854, 0.3497599459601939, -0.168, 0.946, -0.195, 0.996, -0.323, 0.903, -0.359, 0.914, -0.273, 0.4772294586238519, -0.298, 0.999, -0.407, 0.872, -0.346, 0.921, -0.306, 0.29806682637382, -0.391, 0.822, -0.412, g
1, 0.017, 0.7997596999164112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12942048980142462, 0.0, 0.0, 0.0, 0.123, -0.817864658734264, 0.9319428661679716, 0.828, 1.0, -0.423, 0.28556021938229925, 0.0, 0.083, -1.0, -0.11964075013986808, -0.167, 1.0, -0.767, -0.5321218393584997, 0.189, 0.0, 0.0, -0.9018683195816978, -0.273, b
1, -0.4574895723391067, -0.6090747750385372, 1.0, 0.761, 0.871, 0.186, 0.32696448250835863, 0.9523276579455304, 0.938, 0.48, 0.655, 0.5009469952203676, 1.0, -0.1950461522664516, 0.976, -0.501, 0.8, -0.14377118114935494, 0.8498919275239789, -0.191, 0.6506399255363828, -0.123, 0.936, 0.107, 0.929, -0.072, 1.0, -0.274, 0.44, 0.198, 0.514, -0.054, g
1, 0.6776484543638417, 0.242, -0.9145237868452732, 0.486, 1.0, 0.73, 0.5591822228299412, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.771, 1.0, 1.0, 1.0, 1.0, -0.5640000113202259, 1.0, -0.7779558170069838, 1.0, 0.646, -0.38073859768471185, 0.383, 1.0, 0.108, 1.0, -0.174, -0.9619222753592586, -0.814, 1.0, g
1, 0.923, 0.078, 0.927, 0.163, -0.5641515156170707, 0.246, 0.841, 0.352, -0.07540762868602935, 0.422, 0.707, 0.7425109724845995, 0.708, 0.565, 0.605, 0.642, 0.512, 0.649, 0.399, 0.67, 0.342, 0.683, 0.237, 0.761, 0.188, 0.8700910093891647, 0.097, 0.71, 0.9818236427339315, -0.7186514245622446, -0.04, 0.695, g
1, 0.682, -0.173, 0.823, 0.219, 0.466, 0.329, 0.258, 0.583, 1.0, -0.152, 0.011, 0.445, 0.011, 0.389, -0.34999743507942127, 0.412, 0.106, 0.364, -0.5414723473464773, 0.307, -0.001, 0.249, -0.029, 0.2589369386571778, -0.043, 0.145, -0.048, 0.7116033713593155, -0.046, 0.071, 0.9457795377694489, 0.38793152975568823, b
1, 0.749, -0.028, 0.9518996053263311, -0.052, 0.806, 0.028, 0.29135137081410534, 0.025, 0.635, 0.087, 0.716, 0.078, 0.731, 0.4712960923722238, 0.786, -0.278, 0.66, -0.015, 0.787, 0.07, 0.346, -0.186, 0.654, -0.6702660842962251, 0.61, -0.066, 0.536, -0.212, 0.59, -0.4073997729940805, 0.06457998768067452, 0.88193615150683, g
1, 0.675, 0.045, 0.77, -0.6218042293614252, 0.774, -0.9378180173080922, 0.66, -0.045, 0.645, 0.011, 0.668, -0.27126913454180335, -0.24312126991411698, -0.023, 0.77, 0.087, 0.619, -0.079, 0.758, -0.238, 0.74, -0.147, -0.33998286755289486, -0.151, 0.30569179991858353, -0.058, 0.668, -0.9799507362721374, 0.864, 0.038, 0.732, 0.008, g
1, 0.727, -0.05, 0.892, 0.035, 1.0, 0.727, 0.664, -0.059, 0.482, -0.168, 0.818, -0.22916867938571817, 0.3490744101230694, 1.0, 0.505, 0.218, 0.668, 0.1, -0.6843429444554129, -0.3, 0.986, -1.0, 0.573, 0.19216547515060878, 0.57, 0.147, -0.9953112183127811, 0.082, 0.489, 0.146, 0.16057878620004717, 0.37361135784853516, b
1, -0.542, -0.2713658072220547, -0.337, 0.734, 0.52, -0.139, 0.319, -0.068, 0.207, -0.22266852465054687, 0.474, 0.09, 0.563, -0.155, 0.164, 0.452, 0.337, 0.034, 0.505, 0.071, -0.638, -0.616, 1.0, 0.656, 0.413, -0.401, 0.4652891767828933, 0.111, 0.024, 0.558, 0.6527726919513133, -0.09, b
1, 0.945, 0.16363117125901194, 1.0, -0.037, 0.989, -0.871, -0.7401024172408746, 0.669, 0.967311524312783, 0.8631184408122483, 1.0, -0.125, -0.6430591064605533, -0.15, 0.5252662625921114, -0.177, 1.0, -0.205, -0.8169817253521136, -0.235, 1.0, -0.266, 1.0, -0.299, 1.0, -0.333, 1.0, -0.6216124393096223, 1.0, -0.407, 1.0, -0.447, g
1, 0.0, -0.5284945954402198, 0.6423330431902625, 0.0, -0.5349026060511597, 0.0, 0.0, 0.0, 0.622, 1.0, -0.15066207739307125, -0.9272677614184255, 0.0, 0.0, 0.366, -0.07364203386792034, 0.561, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9928051722219225, 1.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
0, 0.994, 0.005, 0.841, -0.113, 0.882, 0.07554547513731413, 0.31204270974547654, -0.063, 0.965, -0.7876064022508464, 0.852, 0.03, 0.872, -0.208, 0.939, -0.8711026007940765, 0.983, -0.4850927534245636, 0.899, 0.001, 0.878, -0.059, 0.934, -0.199, 0.21105914544571647, -0.178, 0.943, -0.166, 0.9677245756536081, -0.257, 0.766, -0.278, g
0, 0.959, 0.101, 1.0, -0.019, 0.983, 0.026, -0.3463219779884261, -0.093, -0.11169869385466413, -0.027, 0.98, -0.031, 1.0, -0.053, 1.0, -0.284049074464489, 0.938, 0.016, 0.976, -0.093, 0.979, -0.053, 0.443536679130871, -0.157, 0.957, -0.07, 0.91, 0.013, 1.0, -0.108, 0.931, -0.069, g
1, -0.267, 0.4, -0.273, 0.48275168367725607, -0.178, -0.044, 0.062, -0.069, 0.045, 0.6167079460846046, -0.09060841591344415, -0.3680554394070188, -0.016, -0.002, -0.001, -0.009, -0.31306172379131003, 0.043220030386750485, 0.001, -0.1652888337069398, -0.001, 0.001, -0.001, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, b
0, 0.853, 0.9977684402833153, 1.0, 0.081, 1.0, 0.134100660945778, 0.915, -0.008, 0.837, 0.039, 0.4348191775928296, 0.272, 0.19313445808206087, 1.0, 0.814, 0.1884164882796855, 0.907, 0.116, 1.0, -0.8067902233001754, 1.0, -1.0, 0.806, 0.039, 1.0, 0.716, 0.08944026313010611, 0.07, 1.0, 0.873, 1.0, 1.0, b
1, -0.205, 0.288, 0.3254264847667483, 0.1, 0.282, 0.318, 0.322, 0.35, 0.363, -0.346, -0.9501640270348088, 0.275, -0.095, -0.9278296702373376, -0.088, -0.2431806156512305, -0.342, 0.314, -0.48, -0.08, 0.299, 0.332, -0.3881014435058696, -0.24, 0.4251713052916273, -0.285, -0.47, 0.185, 0.28855015786563754, -0.312, 0.404, 0.03, b
1, 0.6, 0.033, 0.633, 0.067, 0.7, 0.067, 0.7, 0.0, 0.633, 0.0, 0.31554656692676875, 0.0, 0.733, 0.0, 0.3519715497624063, 0.1, 0.667, -0.30046783650770503, 0.733, 0.6235800053979224, 0.767, 0.3620858377223104, 0.633, 0.133, 0.659, 0.102, 0.6, 0.133, 0.6, 0.167, 0.633, -0.0511424427505448, g
