@relation  sonar
@attribute Band1 real[0.002,0.137]
@attribute Band2 real[0.001,0.234]
@attribute Band3 real[0.002,0.306]
@attribute Band4 real[0.006,0.426]
@attribute Band5 real[0.007,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.003,0.373]
@attribute Band8 real[0.006,0.459]
@attribute Band9 real[0.008,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.003,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.008,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.006,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.001,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.001,0.035]
@attribute Band55 real[0.001,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.001,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.02, 0.037, 0.043, 0.31102678914578324, 0.095, 0.099, 0.2775225281232322, 0.16, 0.311, 0.211, 0.161, 0.6566819979238049, 0.3211850053214433, 0.064, 0.066, 0.227, 0.6664515620636409, 0.3, 0.4068690694505044, 0.48, 0.578, 0.8186701474219258, 0.433, 0.555, 0.671, 0.642, 0.71, 0.808, 0.679, 0.386, 0.36245866559829065, 0.26, 0.512, 0.755, 0.854, 0.851, 0.669, 0.61, 0.7312173618879675, 0.274, 0.03699104129546113, 0.283, 0.282, 0.426, 0.264, 0.139, 0.105, 0.134, 0.038, 0.007215438769016284, 0.023, 0.003, 0.006, 0.016, 0.03564028035352013, 0.017, 0.018, 0.008, 0.009, 0.003, R
0.045, 0.052, 0.084, 0.069, 0.118, 0.258, 0.216, 0.348, 0.21093246919241093, 0.28961482635573826, 0.492, 0.655, 0.2590738634681501, 0.78, 0.746, 0.944, 1.0, 0.887, 0.802, 0.782, 0.521, 0.405, 0.396, 0.391, 0.325, 0.32, 0.327, 0.277, 0.442, 0.203, 0.379, 0.295, 0.198, 0.234, 0.131, 0.418, 0.18085660128641326, 0.7958437940720104, 0.184, 0.197, 0.167, 0.6004815556552451, 0.14, 0.163, 0.7025946615172072, 0.17322989893942836, 0.2167697912214254, 0.074, 0.041, 0.006, 0.012, 0.008, 0.009, 0.005, 0.02487359663002975, 0.019, 0.014421203189161885, 0.009083584351717397, 0.005, 0.004, R
0.076, 0.067, 0.048, 0.039, 0.059, 0.32229600802257097, 0.121, 0.3337184015411694, 0.356, 0.446, 0.415, 0.395, 0.39641900796941926, 0.414, 0.453, 0.16954186898342843, 0.731, 0.619, 0.203, 0.6126245511333981, 0.415, 0.9586983950614693, 0.573, 0.54, 0.316, 0.15926014854462356, 0.7, 1.0, 0.726, 0.472, 0.51, 0.32521133775897587, 0.288, 0.09014549934611318, 0.195, 0.418, 0.46, 0.322, 0.283, 0.8983599672243837, 0.2212434730439548, 0.244, 0.185, 0.084, 0.38622730010846335, 0.053, 0.036, 0.008, 0.023, 0.005, 0.016, 0.003, 0.005, 0.01242913296153516, 0.011, 0.002, 0.007, 0.005, 0.011, 0.009, R
0.012, 0.015, 0.014, 0.4178631537519077, 0.021, 0.106, 0.102, 0.044, 0.093, 0.08626479705126601, 0.074, 0.062, 0.106, 0.118, 0.172, 0.258, 0.323, 0.774515006694597, 0.424, 0.422, 0.445, 0.408, 0.331, 0.6635498340762103, 0.447, 0.522, 0.755, 0.95, 1.0, 0.908, 0.828, 0.757, 0.726, 0.615, 0.5471396107010402, 0.576, 0.532, 0.7882404001807423, 0.167, 0.087, 0.065, 0.189, 0.268, 0.289, 0.234, 0.167, 0.102, 0.12, 0.07220678129145103, 0.017, 0.011, 0.009, 0.002, 0.008, 0.04075248324306507, 0.003, 0.02893435589804648, 0.007554867321521711, 0.007, 0.010062785482514366, R
0.015, 0.032, 0.06, 0.105, 0.10999050432187284, 0.173, 0.168, 0.112, 0.089, 0.5171385841821643, 0.085, 0.058234770458711956, 0.23, 0.279, 0.34, 0.453, 0.6515682784471587, 0.881, 0.915, 0.754, 0.6815540532871509, 0.715, 0.9894918856372805, 0.77, 0.05563761131829527, 0.654, 0.504, 0.6673690146765133, 0.499, 0.4712073249633441, 0.163, 0.04, 0.064, 0.296, 0.361, 0.07884273802648362, 0.9010811614515449, 0.15, 0.24, 0.5478907649577341, 0.318, 0.238, 0.172, 0.156, 0.156, 0.042, 0.049, 0.08354837929633177, 0.022, 0.006, 0.009, 0.006, 0.002, 0.02117445661085063, 0.013, 0.005, 0.001, 0.002, 0.002267584269462988, 0.006, R
0.018, 0.03, 0.029, 0.039, 0.063, 0.053, 0.069, 0.063, 0.03403599320888426, 0.061, 0.168, 0.348, 0.456, 0.519, 0.631, 0.72, 0.515, 0.382, 0.264, 0.334, 0.486, 0.0516638348087817, 0.739, 0.921, 1.0, 0.775, 0.559, 0.617, 0.864, 0.659, 0.477, 0.498, 0.333, 0.308, 0.288, 0.07283002110589995, 0.079, 0.4592583661766858, 0.8949277355794162, 0.061, 0.153, 0.5189946720306748, 0.164, 0.19, 0.111, 0.192, 0.147, 0.039, 0.036, 0.07325036168034431, 0.017, 0.01, 0.012, 0.004, 0.008, 0.004012273714414862, 0.01, 0.006, 0.003, 0.002, R
0.019, 0.031, 0.02, 0.062, 0.29286629802637415, 0.079, 0.144, 0.145, 0.6439815670843194, 0.2311998902066145, 0.261, 0.371, 0.0978504850885017, 0.267, 0.272, 0.418, 0.6683180502926275, 0.38116539225335355, 0.223, 0.263, 0.747, 0.726, 0.339, 0.282, 0.06128307963658196, 0.59, 0.497, 0.862, 0.834, 0.408, 0.608920494004367, 0.174, 0.23887028027672097, 0.159, 0.304, 0.137, 0.48436603874535433, 0.206, 0.24767148212335804, 0.02, 0.164, 0.7694700137466355, 0.183, 0.189, 0.101, 0.012671358419040067, 0.018, 0.04, 0.011, 0.014, 0.015444185169284275, 0.010642422748646331, 0.01, 0.015642986915223995, 0.019, 0.014, 0.01, 0.009, 0.005, 0.008, R
0.033, 0.022, 0.027, 0.0711887750125464, 0.068, 0.26798002790146974, 0.36022764462633705, 0.1541419649548228, 0.076, 0.092, 0.148, 0.052, 0.112, 0.097, 0.117, 0.168, 0.164, 0.17371820876554545, 0.049, 0.154, 0.348, 0.615, 0.915, 0.936, 0.868, 0.877, 0.855, 0.883, 1.0, 0.83, 0.66, 0.55, 0.572, 0.7891841300465595, 0.682, 0.514, 0.275, 0.136, 0.2742854741442216, 0.265, 0.199, 0.14260925991311885, 0.275, 0.165, 0.058, 0.07, 0.12254583755194812, 0.046, 0.002, 0.05285675814441796, 0.004, 0.044463106077039405, 0.008481514780195782, 0.006, 0.005, 0.006, 0.014, 0.0010716358230150388, 0.005, 0.004, R
0.031, 0.034, 0.02, 0.089, 0.157, 0.175, 0.092, 0.135, 0.159, 0.28, 0.334, 0.294, 0.161, 0.334, 0.7517389892250623, 0.73, 0.735, 0.825, 0.879, 0.966, 1.0, 0.871, 0.647, 0.597, 0.822, 0.776, 0.611, 0.42, 0.299, 0.5565224516551295, 0.244, 0.41211220864674825, 0.556, 0.696, 0.73, 0.702, 0.4443488986334644, 0.142, 0.474, 0.641, 0.438, 0.318, 0.238, 0.5315092649188613, 0.137, 0.114, 0.157714943125312, 0.069, 0.042, 0.012, 0.007, 0.017, 0.013, 0.014, 0.009, 0.005, 0.003, 0.012, 0.006, 0.002, R
0.07819937554611811, 0.071, 0.033, 0.027, 0.037, 0.079, 0.108, 0.07262279690118106, 0.03, 0.088, 0.4022689823765003, 0.098, 0.225, 0.282, 0.21, 0.124, 0.17, 0.6589674619806389, 0.109, 0.141, 0.127, 0.8801772104287933, 0.143, 0.226, 0.576, 0.788, 0.716, 0.6, 0.558, 0.63, 0.766, 0.894, 0.844, 0.681, 0.838, 1.0, 0.95, 0.787, 0.565, 0.348, 0.258, 0.23, 0.12585806976302016, 0.336, 0.302, 0.219, 0.132, 0.09338504130704911, 0.03150977862475202, 0.004, 0.01, 0.002390151765986847, 0.024, 0.018322796672890614, 0.02, 0.011, 0.004, 0.01, 0.009, 0.011689516382685283, R
