@relation  wine
@attribute Alcohol real[11.0,14.9]
@attribute MalicAcid real[0.7,5.8]
@attribute Ash real[1.3,3.3]
@attribute AlcalinityOfAsh real[10.6,30.0]
@attribute Magnesium real[70.0,162.0]
@attribute TotalPhenols real[0.9,3.9]
@attribute flavanoids real[0.3,5.1]
@attribute NonflavanoidsPhenols real[0.1,0.7]
@attribute Proanthocyanins real[0.4,3.6]
@attribute ColorIntensity real[1.2,13.0]
@attribute Hue real[0.4,1.8]
@attribute OD280/OD315 real[1.2,4.0]
@attribute Proline real[278.0,1680.0]
@attribute Class{1,2,3}
@inputs Alcohol, MalicAcid, Ash, AlcalinityOfAsh, Magnesium, TotalPhenols, flavanoids, NonflavanoidsPhenols, Proanthocyanins, ColorIntensity, Hue, OD280/OD315, Proline
@outputs Class
@data
11.547175673895323, 1.95, 2.5, 16.8, 113.0, 3.85, 3.49, 0.24, 2.18, 2.7750365629734093, 0.86, 3.45, 1480.0, 1
14.75, 3.9918207750171, 2.39, 11.4, 91.0, 3.1, 3.69, 0.43, 2.81, 5.4, 1.25, 2.73, 1150.0, 1
14.19, 1.59, 2.48, 25.615250642275264, 108.0, 3.3, 0.6411240176160643, 0.32, 1.86, 8.7, 1.23, 2.82, 1680.0, 1
13.71, 1.86, 2.36, 16.500535941659596, 96.26708100882058, 2.61, 2.88, 0.27, 0.733452595102939, 12.602438683482456, 1.11, 4.0, 1035.0, 1
13.39, 1.77, 2.62, 16.1, 93.0, 2.85, 2.94, 0.34, 2.1088698704049156, 4.8, 0.6827211503597723, 3.22, 1195.0, 1
12.42147535731119, 1.9, 2.8, 19.4, 107.0, 2.95, 2.97, 0.4306819939358816, 1.76, 4.5, 0.9985261312682475, 3.4, 915.0, 1
13.58, 1.66, 2.36, 19.1, 106.0, 2.86, 3.19, 0.22, 1.95, 6.9, 1.09, 2.88, 1515.0, 1
13.24, 1.057812853985888, 2.29, 17.5, 103.0, 2.64, 4.296260895020389, 0.32, 1.66, 9.914290358385605, 0.82, 3.0, 644.3637685059485, 1
13.05, 1.73, 1.5310492289790534, 12.4, 92.0, 2.72, 3.27, 0.17, 2.91, 7.2, 1.12, 2.91, 1150.0, 1
12.64, 1.36, 2.02, 16.8, 115.48195595421873, 1.7450565328460783, 2.8169576844472806, 0.53, 1.4988549570317509, 5.75, 0.98, 1.59, 450.0, 2
12.37, 1.13, 2.16, 19.0, 87.0, 1.4046512671989975, 3.1, 0.19, 1.87, 4.45, 1.545636674143755, 1.9539967469763933, 420.0, 2
12.17, 1.45, 2.039055260256644, 19.0, 104.0, 1.89, 1.75, 0.45, 1.03, 2.95, 1.45, 3.29693911692522, 355.0, 2
14.710141046161331, 1.51, 1.671157954067727, 25.0, 92.58196561564272, 2.95, 2.86, 0.21, 1.87, 3.38, 1.36, 3.16, 410.0, 2
11.96, 1.09, 2.153980430135033, 21.0, 101.0, 3.38, 2.14, 0.5921259537553708, 1.65, 7.757206714608988, 0.99, 3.13, 886.0, 2
11.84, 2.4607778087632677, 1.7515632876315068, 18.0, 94.0, 2.2, 2.21, 0.22, 2.35, 3.05, 0.79, 3.08, 520.0, 2
12.29, 0.7663357883380576, 2.22, 18.0, 88.0, 3.5756023742900234, 2.25, 0.5910351584411774, 1.99, 2.15, 1.15, 3.3, 290.0, 2
12.465602610624769, 3.172889604226893, 1.98, 16.0, 153.6867852526919, 3.1187092376916454, 2.5, 0.29, 1.77, 2.9, 1.23, 3.688628576437157, 428.0, 2
12.066370818546593, 4.977026430372388, 2.6552154608432237, 15.27281823513862, 79.0457894003591, 2.6229214642948753, 2.92, 0.29, 2.49, 2.65, 0.96, 3.26, 918.5507642348648, 2
11.76, 2.68, 2.92, 20.0, 103.0, 1.75, 2.03, 0.6, 1.05, 3.8, 1.23, 2.5, 607.0, 2
11.45, 2.4, 1.583279627161864, 12.703706159140847, 96.0, 2.9, 3.20906074673614, 0.13134355275690174, 1.1389781536392352, 3.25, 0.8, 1.9423213028214688, 625.0, 2
11.56, 2.05, 3.23, 28.699841771484316, 119.0, 3.18, 5.08, 0.47, 1.87, 6.0, 0.5074254723050226, 3.69, 652.0702118496574, 2
12.04, 4.3, 2.38, 22.0, 80.0, 0.9005418648944566, 1.75, 0.42, 1.35, 2.6, 0.6082782364935331, 2.57, 580.0, 2
12.86, 1.35, 2.32, 18.0, 122.0, 2.844025686929008, 1.25, 0.21, 0.94, 4.1, 0.76, 1.29, 630.0, 3
12.81, 2.31, 2.4, 12.543610430728553, 98.0, 1.15, 1.09, 0.27, 0.83, 5.7, 0.66, 3.129476915749134, 560.0, 3
12.25, 4.72, 2.54, 21.0, 115.22096112678315, 1.38, 0.47, 0.53, 1.1957545051341305, 3.85, 0.75, 1.27, 720.0, 3
12.53, 5.51, 2.64, 25.0, 96.0, 1.79, 0.6, 0.63, 1.1, 5.0, 0.82, 1.69, 515.0, 3
13.16, 3.57, 2.15, 21.0, 102.0, 1.5, 0.55, 0.43, 1.3, 8.462275281888962, 0.6, 1.6823388511506696, 1061.8499101395369, 3
13.08, 3.9, 2.36, 21.5, 113.0, 1.41, 1.39, 0.24880456350483107, 1.14, 9.4, 0.57, 3.010464970537104, 550.0, 3
12.58, 1.29, 2.1, 20.0, 103.0, 1.48, 0.58, 0.53, 1.4, 7.6, 1.2835021974713312, 1.55, 1108.338106231377, 3
13.17, 5.19, 2.32, 14.655090791418935, 118.63043976496682, 1.74, 0.63, 0.61, 1.8308168533795555, 7.9, 0.6, 1.48, 725.0, 3
13.78, 4.044249626655189, 2.3, 22.0, 90.0, 1.35, 4.717039560064915, 0.41, 1.6096412966981628, 9.58, 0.7, 1.68, 422.9799856564449, 3
13.56, 1.71, 2.31, 16.2, 117.0, 3.15, 1.1191699607342411, 0.29125100760516964, 2.34, 6.13, 0.9357204023133312, 3.38, 795.0, 1
11.247672994981444, 1.73, 2.27, 17.4, 108.0, 2.88, 0.6434916359240868, 0.32, 2.08, 2.5286811280363892, 1.12, 3.1, 1260.0, 1
11.36059609748437, 3.86, 2.32, 22.5, 85.0, 1.65, 1.59, 0.61, 1.62, 4.8, 0.84, 2.01, 389.26190897805196, 2
11.82, 1.47, 1.99, 20.8, 86.0, 1.98, 1.6, 0.14484658866302264, 1.53, 3.858480091360044, 0.95, 3.33, 495.0, 2
