@relation  yeast
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.58, 0.61, 0.47, 0.13, 0.5, 0.0, 0.48, 0.22, MIT
0.6, 0.4, 0.52, 0.46, 0.5, 0.0, 0.53, 0.6787985893149857, MIT
0.66, 0.55, 0.45, 0.19, 0.5, 0.0, 0.46, 0.22, MIT
0.43, 0.8059586155055926, 0.52, 0.13, 0.5, 0.0, 0.55, 0.22, CYT
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, MIT
0.38, 0.61, 0.61, 0.12, 0.5, 0.0, 0.53, 0.47, CYT
0.74, 0.57, 0.6758914304934189, 0.28, 0.5, 0.0, 0.58, 0.22, VAC
0.42, 0.24, 0.34, 0.16, 0.5, 0.0, 0.5, 0.22, ME3
0.64, 0.56, 0.8026562918379568, 0.22, 0.8134713606707452, 0.0, 0.45, 0.22, CYT
0.43, 0.35, 0.52, 0.52, 0.7113506137885504, 0.0, 0.54, 0.22, MIT
0.47, 0.39, 0.59, 0.15, 0.5, 0.0, 0.57, 0.22, CYT
0.63, 0.53, 0.54, 0.4, 0.5, 0.0, 0.6963448215919418, 0.22, MIT
0.39, 0.44, 0.35, 0.16, 0.5, 0.0, 0.55, 0.22, ME3
0.5, 0.52, 0.59, 0.3, 0.5, 0.0, 0.51, 0.35, NUC
0.4, 0.45, 0.56, 0.2, 0.5, 0.0, 0.45, 0.22, CYT
0.61, 0.72, 0.39, 0.33, 0.5, 0.0, 0.2766436634041936, 0.22, MIT
0.3, 0.8325007842999187, 0.55, 0.14530644289807101, 0.5, 0.0, 0.16738540984396483, 0.22, CYT
0.45, 0.41, 0.5, 0.46, 0.5, 0.5, 0.5, 0.27, POX
0.67, 0.62, 0.54, 0.43, 0.5, 0.0, 0.53, 0.22, MIT
0.6, 0.5, 0.57, 0.25, 0.5, 0.0, 0.41, 0.26, CYT
0.47, 0.32, 0.64, 0.3, 0.5, 0.0, 0.63, 0.22, NUC
0.28, 0.37, 0.61, 0.09, 0.5, 0.0, 0.52, 0.55, NUC
0.42, 0.43, 0.56, 0.1, 0.5, 0.0, 0.49, 0.22, CYT
0.49, 0.47, 0.53, 0.16, 0.5, 0.009099599884147663, 0.48, 0.27, NUC
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, CYT
0.21, 0.41, 0.55, 0.11, 0.5, 0.0, 0.5, 0.27, CYT
0.49, 0.43, 0.51, 0.13, 0.5, 0.0, 0.47, 0.22, CYT
0.54, 0.38, 0.2458491297033264, 0.18, 0.5, 0.0, 0.48, 0.22, CYT
0.52, 0.51, 0.51, 0.54, 0.5, 0.0, 0.55, 0.27, MIT
0.63, 0.56, 0.45, 0.58, 0.5, 0.0, 0.51, 0.22, MIT
0.58, 0.58, 0.58, 0.49, 0.5, 0.0, 0.49, 0.26, MIT
0.72, 0.62, 0.34, 0.29, 0.5, 0.0, 0.56, 0.28, MIT
0.72, 0.61, 0.37, 0.3, 0.5, 0.49833050523147226, 0.57, 0.22, MIT
0.46, 0.43, 0.38, 0.33, 0.5, 0.0, 0.48, 0.28, MIT
0.55, 0.45, 0.45, 0.54, 0.5, 0.0, 0.5, 0.22, MIT
0.47, 0.46, 0.59, 0.49, 0.5, 0.0, 0.56, 0.22, MIT
0.78, 0.74, 0.58, 0.25, 1.0, 0.0, 0.53, 0.22, ERL
0.7, 0.65, 0.54, 0.28, 0.5, 0.0, 0.6, 0.4, VAC
0.41, 0.45, 0.53, 0.17, 0.5, 0.12493741521493937, 0.51, 0.25, NUC
0.36, 0.37, 0.33, 0.14, 0.5, 0.0, 0.57, 0.31, ME3
0.388715979277323, 0.54, 0.71, 0.15, 0.6954125148932013, 0.0, 0.59, 0.22, MIT
0.45, 0.27, 0.57, 0.36, 0.5, 0.0, 0.52, 0.18, CYT
0.18535351085601223, 0.39, 0.66, 0.11, 0.5, 0.0, 0.44, 0.22, MIT
0.34, 0.42, 0.3, 0.23, 0.5, 0.0, 0.53, 0.22, ME3
0.42, 0.32, 0.5, 0.21, 0.5, 0.0, 0.51, 0.22, NUC
0.36, 0.24, 0.49, 0.16, 0.5, 0.0, 0.51, 0.22, NUC
0.6, 0.56, 0.47, 0.2, 0.5, 0.0, 0.5, 0.38, NUC
0.5, 0.51, 0.52, 0.09, 0.5, 0.1816776270399982, 0.48, 0.25, NUC
0.46, 0.43, 0.49, 0.79, 0.5, 0.0, 0.49, 0.63, NUC
0.8675731710525167, 0.52, 0.55, 0.19, 0.5, 0.0, 0.54, 0.22, CYT
0.61, 0.3, 0.59, 0.12, 0.5, 0.0, 0.49, 0.27, NUC
0.78, 0.7, 0.32, 0.23, 0.5, 0.0, 0.53, 0.22, ME1
0.52, 0.75, 0.37, 0.14, 0.9878674547625397, 0.0, 0.46, 0.22, ME3
0.59, 0.58, 0.46, 0.19, 0.5, 0.0, 0.56, 0.27, CYT
0.53, 0.68, 0.42, 0.19, 0.5, 0.0, 0.53, 0.22, ME3
0.73, 0.55, 0.41, 0.16, 0.5, 0.0, 0.46, 0.22, ME2
0.77, 0.87, 0.47, 0.37, 0.5, 0.0, 0.48, 0.22, EXC
0.43, 0.51, 0.48, 0.14, 0.5, 0.0, 0.5792562685299796, 0.22, CYT
0.33, 0.44, 0.30854500385433087, 0.08, 0.5, 0.0, 0.48, 0.49, NUC
0.47, 0.47, 0.58, 0.16, 0.5, 0.0, 0.49, 0.28, CYT
0.37, 0.34, 0.32, 0.22, 0.5, 0.0, 0.56, 0.22, ME3
0.37, 0.43, 0.62, 0.27, 0.5, 0.0, 0.48, 0.22, NUC
0.7, 0.69, 0.43, 0.33, 0.5, 0.0, 0.58, 0.22, ME1
0.9833479943367066, 0.35, 0.46, 0.15, 0.5, 0.0, 0.51, 0.42, CYT
0.59, 0.65, 0.52, 0.3, 0.5, 0.0, 0.46, 0.31, CYT
0.54, 0.56, 0.57, 0.18, 0.5, 0.0, 0.45, 0.25, NUC
0.49, 0.43, 0.48, 0.15, 0.5, 0.0, 0.55, 0.25, CYT
0.49, 0.47, 0.52, 0.16, 0.5, 0.7053665421822496, 0.53, 0.28, CYT
0.49, 0.42, 0.54, 0.17, 0.5, 0.0, 0.5, 0.36, CYT
0.2, 0.34, 0.33, 0.897883332310683, 0.5, 0.0, 0.48, 0.31, ME3
0.55, 0.41, 0.56, 0.21, 0.5, 0.0, 0.52, 0.22, CYT
0.28, 0.51, 0.55, 0.11, 0.5, 0.0, 0.46, 0.22, NUC
0.56, 0.57, 0.63, 0.39, 0.5151600424468424, 0.0, 0.59, 0.4, NUC
0.35, 0.4, 0.53, 0.18, 0.5, 0.0, 0.42, 0.38, CYT
0.47, 0.45, 0.53, 0.62, 0.5, 0.0, 0.36463741235775815, 0.22, MIT
0.39, 0.39, 0.55, 0.52, 0.5, 0.0, 0.37, 0.16, NUC
0.48, 0.7268730897751807, 0.5, 0.09, 0.5, 0.0, 0.52, 0.42, NUC
0.44, 0.41, 0.58, 0.2, 0.5, 0.0, 0.57, 0.25, CYT
0.45, 0.56, 0.51, 0.64, 0.5, 0.0, 0.54, 0.22, MIT
0.44, 0.53, 0.52, 0.37, 0.5, 0.0, 0.5, 0.22, NUC
0.41, 0.3, 0.49, 0.28, 0.5, 0.0, 0.54, 0.22, CYT
0.51, 0.43, 0.63, 0.18, 0.5, 0.0, 0.52, 0.22, CYT
0.47, 0.59, 0.43, 0.13, 0.5, 0.0, 0.56, 0.3, ME3
0.4, 0.45, 0.42, 0.17, 0.5, 0.0, 0.54, 0.26, ME3
0.49, 0.41, 0.32, 0.21, 0.5, 0.0, 0.5, 0.32, ME3
0.35, 0.53, 0.35, 0.33, 0.5, 0.0, 0.5, 0.32, ME3
0.46, 0.41, 0.5, 0.801344196498707, 0.5, 0.0, 0.53, 0.22, MIT
0.7, 0.73, 0.37, 0.37, 0.5, 0.0, 0.48, 0.31, ME1
0.23, 0.34, 0.41, 0.28, 0.5, 0.0, 0.427149658663466, 0.27, NUC
0.34, 0.31, 0.6, 0.37, 0.5, 0.0, 0.5, 0.010941312185242146, NUC
0.38, 0.49, 0.54, 1.0, 0.5, 0.0, 0.5, 0.27, CYT
0.27, 0.56, 0.56, 0.18, 0.5, 0.0, 0.52, 0.22, CYT
0.76, 0.74, 0.56, 0.34, 0.5, 0.0, 0.51, 0.3, ME2
0.42, 0.32, 0.48, 0.16, 0.5, 0.0, 0.55, 0.22, VAC
0.11479437553901095, 0.34, 0.46, 0.19, 0.5, 0.0, 0.52, 0.22, ME2
0.44, 0.8187638782008467, 0.44, 0.13, 0.5, 0.0, 0.49, 0.42, NUC
0.46, 0.14, 0.36, 0.21, 0.5, 0.0, 0.5, 0.25, ME3
0.39, 0.37, 0.8165181229185589, 0.15, 0.5, 0.0, 0.5, 0.27, CYT
0.47, 0.54, 0.54, 0.48, 0.5, 0.0, 0.53, 0.26, MIT
0.72, 0.58, 0.42, 0.28, 0.5, 0.0, 0.48, 0.22, MIT
0.81, 0.65, 0.52, 0.41, 0.5, 0.19009329843104195, 0.020875856785773264, 0.26, MIT
0.62, 0.6, 0.47, 0.16, 0.5, 0.0, 0.53, 0.22, CYT
0.4, 0.53, 0.61, 0.21, 0.5, 0.0, 0.48, 0.33, NUC
0.46, 0.42, 0.6, 0.21, 0.5, 0.0, 0.4, 0.22, EXC
0.4927100864291913, 0.74, 0.3534112024408326, 0.33, 0.5, 0.0, 0.48, 0.22, EXC
0.74, 0.56, 0.35, 0.36, 0.5, 0.0, 0.51, 0.25, ME2
0.67, 0.51, 0.54, 0.21, 0.5, 0.0, 0.43, 0.3, MIT
0.5, 0.46, 0.64, 0.36, 0.5, 0.0, 0.49, 0.22, MIT
0.6, 0.46, 0.59, 0.16, 0.5, 0.19026537912903943, 0.49, 0.22, MIT
0.58, 0.53, 0.57, 0.46, 0.9029207250342985, 0.0, 0.51, 0.27, MIT
0.61, 0.46, 0.51, 0.37, 0.5, 0.0, 0.51, 0.22, MIT
0.53, 0.4, 0.57, 0.6450881279644296, 0.5, 0.0, 0.53, 0.32, NUC
0.46, 0.44, 0.53, 0.31, 0.6915772288785262, 0.0, 0.48, 0.22, MIT
0.57, 0.4, 0.48, 0.24, 0.5, 0.0, 0.55, 0.22, CYT
0.39, 0.35, 0.49, 0.17, 0.5, 0.0, 0.49, 0.22, NUC
0.43, 0.4, 0.5, 0.18, 0.5, 0.0, 0.5, 0.28, CYT
0.81, 0.79, 0.32, 0.37, 0.5, 0.0, 0.41, 0.22, ME1
0.53, 0.61, 0.51, 0.49, 0.5, 0.0, 0.54, 0.27, MIT
0.35, 0.44, 0.54, 0.26, 0.5, 0.0, 0.52, 0.26, NUC
0.29, 0.34, 0.55, 0.24, 0.5, 0.7226841115561975, 0.15384322000524103, 0.22, CYT
0.47, 0.47, 0.5, 0.15, 0.5, 0.0, 0.5, 0.48, NUC
0.48, 0.49, 0.45, 0.23, 0.5, 0.0, 0.51, 0.22, ME3
0.76, 0.67, 0.37, 0.22, 0.5, 0.0, 0.54, 0.22, ME2
0.1353492403718059, 0.48, 0.56, 0.16, 0.5, 0.0, 0.48, 0.26, CYT
0.5, 0.5, 0.54, 0.16, 0.5, 0.0, 0.49, 0.22, POX
0.53, 0.51, 0.36, 0.13, 0.5, 0.0, 0.52, 0.22, ME3
0.37, 0.42, 0.6, 0.13, 0.5, 0.0, 0.51, 0.009552465753991265, NUC
0.74, 0.89, 0.32, 0.24, 0.5, 0.0, 0.54, 0.32, ME1
0.67, 0.46, 0.58, 0.3, 0.6370456342438808, 0.0, 0.5062990132873643, 0.27, NUC
0.26, 0.28, 0.6, 0.2, 0.5, 0.0, 0.54, 0.31, MIT
0.9189501610512263, 0.45, 0.58, 0.21, 0.6377097998367878, 0.0, 0.49, 0.22, MIT
0.47, 0.49, 0.6, 0.15, 0.5, 0.0, 0.38, 0.22, CYT
0.46, 0.46, 0.6900503170793062, 0.23, 0.5, 0.638405107084756, 0.51, 0.22, CYT
0.43, 0.45, 0.53, 0.19, 0.5, 0.0, 0.56, 0.22, CYT
0.48, 0.46, 0.58, 0.26, 0.5, 0.0, 0.44, 0.22, NUC
0.77, 0.72, 0.48, 0.26, 0.5, 0.0, 0.51, 0.22, EXC
