@relation  glass
@attribute RI real[1.51115,1.53393]
@attribute Na real[10.73,17.38]
@attribute Mg real[0.0,4.49]
@attribute Al real[0.29,3.5]
@attribute Si real[69.81,75.41]
@attribute K real[0.0,6.21]
@attribute Ca real[5.43,16.19]
@attribute Ba real[0.0,3.15]
@attribute Fe real[0.0,0.51]
@attribute TypeGlass{1,2,3,4,5,6,7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs TypeGlass
@data
1.52099096, 13.68925, 3.592, 1.12139, 72.77706876916976, 0.08694, 9.40044, 0.0, 0.0, 1
1.5195612560608776, 12.7915, 3.5022, 1.12139, 73.03, 0.63963, 8.7656, 0.0, 0.0, 1
1.5215149, 13.05085, 4.255880367543055, 0.87101, 72.218, 0.19251, 9.85236, 0.0, 0.20234466038698906, 1
1.51734616, 13.0176, 3.53812, 2.696565186136068, 72.82176818697987, 0.54027, 8.4428, 0.0, 0.0357, 1
1.51777898, 13.21045, 3.38995, 1.33004, 72.7612, 0.58995, 8.59344, 0.0, 0.0, 1
1.5215149, 13.05085, 3.65037, 0.87101, 72.3188, 0.19251, 9.85236, 0.0, 0.0867, 1
1.51761952, 12.81145, 3.53812, 0.7710967818789874, 73.2372, 0.57753, 13.003562695415123, 0.3564842078849869, 0.0, 1
1.51750562, 12.8181, 2.4823925020108915, 1.49054, 72.75, 0.54027, 8.51812, 0.9615038135930671, 0.0969, 1
1.524152010236057, 13.9885, 3.3778255238518646, 0.71051, 71.39466223831863, 0.5510426989200159, 9.82008, 0.0, 0.051, 1
1.51925968, 15.848099845530953, 3.33158, 1.27868, 72.358, 0.60237, 9.1422, 0.0, 0.39765432839227244, 1
1.51618438, 13.52965, 0.5495580315961405, 1.53869, 72.9908, 5.783186990889531, 7.358164566766509, 0.0, 0.0, 1
1.51768786, 12.65185, 3.56057, 1.30115, 73.0804, 3.553875899560255, 8.69028, 2.8833447261674667, 0.0714, 1
1.51768786, 14.664959984963051, 0.6647649638668554, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, 1
1.51645774, 13.308579478717544, 3.55159, 1.24979, 72.8116, 0.6831, 8.09848, 0.0, 0.0, 2
1.5233745956584914, 13.8023, 3.15198, 2.4405670716172474, 70.5716, 0.08073, 11.63852, 0.0, 0.0, 2
1.5305066864192338, 12.99765, 3.57853, 1.53869, 72.8284, 0.60858, 8.04468, 0.0, 0.0, 2
1.523848839828125, 13.01095, 3.5022, 1.48091, 72.96718228294448, 0.60237, 8.12, 0.11457756065404451, 0.0, 2
1.5170728, 13.7225, 3.6818, 1.81154, 72.0612, 0.63963, 7.88328, 0.022052470099193155, 0.0, 2
1.5274959613733705, 12.9378, 0.42111247761899434, 1.25942, 72.75, 0.5589, 13.674391099932695, 0.0, 0.0, 2
1.51689056, 13.33015, 3.53812, 1.60931, 72.5428, 6.152906229187014, 8.10924, 0.0, 0.06243160744021451, 2
1.5293679388137436, 13.23705, 3.90181, 1.41029, 72.33, 0.55269, 8.284358786599329, 0.0, 0.04545612900877747, 2
1.51839404, 12.85135, 3.66833, 1.24016, 75.12655390293257, 0.621, 8.67952, 0.0, 0.1785, 2
1.5159338, 13.09075, 3.592, 1.2999984697438773, 73.01794562380945, 0.67068, 7.82948, 0.14699704132438568, 0.0, 2
1.5184396, 16.48443701016587, 3.75813, 1.0829821058136835, 72.4028, 0.57753, 8.31107011755022, 0.0, 0.40571909235457865, 2
1.51632106, 17.34361648448827, 3.56955, 1.57079, 72.8676, 0.60858, 7.89404, 0.5096040128054107, 0.0, 2
1.53393, 12.2994, 0.0, 0.99941, 70.1628, 0.07256828618295684, 7.047475866595627, 0.0, 0.1224, 2
1.5120512960992105, 12.63855, 0.0, 0.66878, 70.81454720002705, 0.0621, 14.40384, 0.0, 0.10823073656257026, 2
1.51591102, 13.23705, 3.34056, 1.47128, 73.0972, 0.39123, 8.21684, 0.0, 0.31513685458459356, 2
1.52121876, 14.0284, 3.75813, 0.5789, 71.7924, 0.11178, 9.64792, 0.0, 0.0, 3
1.51796122, 13.50305, 1.6873030308301802, 2.207986672110387, 71.938, 0.57132, 8.80864, 0.17817022655582293, 0.459, 3
1.527354248221443, 13.33015, 3.34056, 1.53869, 72.1396, 0.5589, 8.99156, 0.0, 0.0, 3
1.5132002, 12.99765, 2.273781542026853, 3.0185, 70.7004, 6.21, 13.06449301346077, 0.0, 0.0, 5
1.52042146, 13.3767, 0.0, 1.40066, 72.2516, 4.05403466674826, 12.49932, 0.0, 0.0, 5
1.51828014, 14.46065, 2.24051, 1.61894, 72.3804, 0.0, 9.26056, 0.0, 0.0, 6
1.51299518, 14.4008, 1.74212, 1.53869, 74.5476, 0.3852835210215495, 7.59276, 0.0, 0.0, 6
1.51652608, 14.513285962902774, 0.0, 1.1888, 75.1804, 2.70135, 8.927, 1.4697094313729808, 0.17127086294378874, 7
1.52064926, 16.141877979061537, 0.0, 1.7952566612268, 73.422, 1.1314265757662771, 10.3677893389896, 1.64115, 0.0, 7
1.51545542, 14.14145, 0.0, 2.68145, 73.3884, 0.08073, 7.791867135791543, 0.6111, 0.0255, 7
1.5171867, 14.75325, 0.0, 2.00093, 70.24548915843374, 0.0, 8.52888, 1.59075, 0.0408, 7
1.51727782, 14.754044067953723, 0.0, 2.34119, 73.282, 0.0, 8.94852, 0.6615, 0.0, 7
1.51766508, 13.21045, 3.69078, 0.9399972874834195, 72.61, 0.06622401367552205, 8.21684, 0.0, 0.0, 1
1.51643496, 11.571367969403827, 3.52016, 1.1182038983442364, 73.08113729772883, 0.57132, 8.52888, 0.0, 0.26255407664984326, 3
1.52247166, 14.85965, 4.41388140692466, 2.05871, 70.258, 0.75762, 9.75552, 0.0, 0.0, 7
1.51910022, 13.90205, 3.73119, 1.17917, 72.1228, 0.0621, 8.89472, 0.0, 0.1839112038709948, 1
1.51795549089932, 13.21045, 4.361412753297811, 1.41029, 72.638, 6.119041161217969, 8.43204, 0.0, 0.0, 1
1.51215232, 13.451646553131669, 3.47077, 1.12139, 72.9796, 0.621, 8.34596, 2.0304005713272844, 0.1581, 1
1.51784732, 12.67845, 3.66833, 2.2944923218745954, 73.1084, 0.60858, 5.769626213158394, 0.0, 0.0, 1
1.51823458, 12.8713, 3.47975, 1.29152, 73.48162620920493, 0.60237, 8.43204, 0.0, 0.4781766771008672, 1
1.51761952, 12.642081994922385, 3.65935, 1.26905, 73.0076, 0.60237, 12.86433096050153, 0.0, 0.0, 1
1.51782454, 12.69175, 3.53812, 1.33967, 72.9516, 0.57132, 8.75484, 0.0, 0.0, 1
1.51837126, 13.1373, 2.84217, 1.27868, 72.98034019268358, 0.55269, 9.06688, 0.32505459089881145, 0.0, 1
1.528949223536602, 12.8713, 3.47975, 1.33004, 70.64508204483313, 0.5589, 8.43204, 0.0, 0.09357849431773148, 1
1.5305574544782348, 12.73165, 0.2598550762235781, 2.4438691060486875, 72.9516, 0.621, 8.75484, 0.0, 0.4863498383216443, 1
1.5229956, 13.3102, 3.57853, 0.81965, 71.9884, 0.11799, 6.554137398592228, 0.0, 0.0153, 1
1.52212996, 14.20795, 3.82099, 0.46976, 73.31000080398749, 0.11178, 9.5726, 2.569022965202812, 0.0, 1
1.5262533722857161, 13.62036537649584, 3.33158, 1.49054, 73.282, 3.787331121032436, 8.275560258833124, 0.0, 0.0, 2
1.5277764644744496, 12.77813162933526, 3.65935, 1.4673428003413935, 72.5092, 0.57753, 8.5504, 0.5990365403585686, 0.0612, 2
1.52176548, 13.7491, 2.947515963366608, 1.35893, 72.19, 0.32913, 8.450071356226708, 0.0, 0.0, 2
1.5160477, 12.8979, 3.43934, 1.44881, 73.58, 0.44091, 8.27064, 0.0, 0.0, 2
1.52474966, 11.4482, 2.446109825755961, 1.175127398568468, 73.69964834061676, 0.8073, 13.24176, 0.0, 0.1734, 2
1.51645774, 13.4033, 3.48873, 1.51943, 72.6492, 5.583210206637907, 8.07696, 0.0, 0.051, 2
1.5142715248500234, 14.4274, 0.9661094133081171, 0.99941, 70.60851656444336, 0.09936, 11.917143176963354, 0.0, 0.0408, 2
1.51625272, 13.35675, 3.57853, 1.3744291271372766, 72.722, 0.44712, 5.627676193443517, 0.0, 0.0, 2
1.51859906, 13.35675, 3.43036, 1.42955, 72.2628, 0.50922, 8.6042, 0.0, 0.3102466208977268, 2
1.5173006, 11.839973145243706, 2.72094, 1.62857, 72.8676, 0.7419918774259258, 9.22828, 0.0, 0.32993027445392925, 2
1.52019366, 13.98185, 1.35149, 1.62857, 71.7588, 0.39123, 10.56252, 0.0, 0.51, 2
1.5167311, 12.8713, 3.56057, 1.64141, 73.142, 0.65205, 7.99088, 0.0, 0.3229627963744483, 2
1.51595658, 13.0176, 3.0750870531297028, 1.53869, 71.79413294208798, 4.406630287400128, 7.9048, 0.0, 0.22392855943970583, 2
1.5291453650201894, 12.7915, 3.52016, 1.53869, 70.21649855779636, 0.65826, 7.9048, 0.0, 0.0, 2
1.51645774, 13.03755, 3.39893, 1.25942, 73.0076, 0.52164, 8.58268, 0.0, 0.0, 3
1.51693612, 12.858, 3.57853, 1.31078, 72.61, 0.60858, 8.656177661750974, 0.0, 0.06697640712535391, 3
1.5171160696601975, 13.23705, 3.56955, 1.3814, 72.6996, 0.5589, 8.4428, 0.0, 0.051, 3
1.523679, 14.463485994228042, 3.2240087541271953, 1.58042, 72.218, 3.70755839633, 12.24108, 0.5836641160034723, 0.0, 5
1.51853072, 14.08825, 2.19112, 1.66067, 72.6716, 0.0, 9.32512, 0.0, 0.0, 6
1.51905466, 14.0018, 2.38868, 1.56116, 72.3692, 0.0, 9.5726, 1.6405000934355196, 0.0, 6
1.51556932, 13.8688, 0.0, 2.54021, 73.2316, 2.779378633536254, 9.4112, 0.80955, 0.0051, 7
1.5163894, 17.18924013267719, 0.0, 2.73923, 72.8508, 0.0, 9.45424, 0.53865, 0.0, 7
1.52315506, 13.4432, 3.34056, 1.23053, 72.3804, 0.09295172031106234, 8.83016, 3.148607558116458, 0.0, 7
1.5161616, 14.95275, 0.0, 0.3074406427721122, 73.2988, 0.0, 8.7118, 0.67095, 0.0, 7
1.51531874, 14.38085, 3.090000392773655, 2.65898, 73.0972, 0.03726, 9.07764, 2.110409926439265, 0.0, 7
1.52226664, 14.16805, 0.44137046229359006, 2.66344598801654, 71.35, 0.0, 9.69096, 0.0, 0.0, 1
1.51966972, 13.85158951684171, 3.74915, 2.6073719379881797, 72.022, 0.03105, 9.00232, 0.0, 0.0, 1
1.51818902, 13.7225, 0.0, 0.55964, 74.94135299690332, 0.0, 13.495240463145366, 0.0, 0.0, 2
1.5311693334380256, 13.53604226371647, 3.90181, 0.82928, 71.5012, 2.8902394130686853, 9.48652, 0.0, 0.0, 3
1.51914578, 12.73165, 1.84988, 1.85969, 72.6884, 0.60237, 10.08908, 0.0, 0.0, 5
1.51509094, 15.15225, 0.0, 3.3012674764034493, 73.5004, 0.0, 8.3352, 1.9264316973920053, 0.0, 7
1.5176423, 12.9777, 3.53812, 2.356462080673422, 72.97665552499859, 0.0023437296814154203, 8.52888, 0.0, 0.0, 1
1.51755118, 13.1506, 3.60996, 1.05077, 73.2372, 0.57132, 8.23836, 0.0, 0.20258454139637402, 1
1.5203944780643015, 13.106884878165294, 3.958102462549718, 1.23053, 72.078, 0.58995, 8.90548, 0.0, 0.0, 1
1.51976084, 13.80895, 3.57853, 1.32041, 71.7196, 0.11799, 8.66876, 0.68985, 0.0, 1
1.51761952, 13.88875, 3.60098, 2.5737734148334184, 72.7276, 0.47817, 7.82948, 0.0, 0.0, 1
1.52210718, 13.72915, 3.83895, 0.8302281488734828, 71.7588, 0.16767, 9.74476, 0.0, 0.0, 1
1.51919134, 14.417, 3.57853, 2.3738832196509194, 73.20019130063015, 1.2487593176562244, 8.30292, 0.0, 0.0, 1
1.51595658, 12.7915, 3.60996, 1.61894, 72.9684, 1.0285171740358967, 8.0662, 0.0, 0.1326, 1
1.51910022, 13.88875, 0.7442570288745355, 1.32041, 71.8092, 0.50922, 8.77636, 1.987561567462413, 0.22784263738147975, 1
1.51869018, 13.265945455971162, 3.37199, 1.17917, 74.48447080590633, 0.57132, 8.83016, 0.42771456496038346, 0.0816, 1
1.52101374, 13.6427, 4.49, 1.09892, 71.7812, 0.0621, 8.75484, 0.0, 0.0, 1
1.5151279102536053, 12.001097256213217, 0.20096106867561145, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, 1
1.5174145, 13.2703, 3.61894, 1.24016, 73.0804, 0.55269, 8.0662, 0.0, 0.435485101979106, 1
1.5115432296836036, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, 1
1.5159338, 13.09075, 3.52016, 1.55153, 72.8676, 2.2984543564213564, 8.04468, 0.0, 0.459, 2
1.51588824, 13.11735, 3.40791, 1.58042, 73.2596, 0.06831, 11.987970029636745, 0.0, 0.0969, 2
1.52408904, 13.8289, 2.2543826247738634, 1.16954, 71.1484, 0.08073, 10.78848, 0.0, 0.0962916427818806, 2
1.51652608, 14.029836007878146, 3.56955, 1.47128, 69.97894360803276, 0.63963, 7.9586, 0.0, 0.0, 2
1.51812068, 13.4299, 3.97814, 1.17917, 70.26276448550931, 0.57753, 8.15228, 1.0927919683961178, 0.5095594025984312, 2
1.5166172, 12.85135, 3.51118, 1.43918, 73.0076, 0.6831, 8.2276, 0.5985, 0.1275, 2
1.51572878, 14.85965, 3.66833, 1.74092, 71.8708, 0.16146, 7.35604, 0.0, 0.0612, 2
1.5204159938294082, 13.520219438248365, 3.79854, 1.07966, 73.0692, 0.5589, 8.37824, 2.2563781420598685, 0.36528429747915, 2
1.51568322, 14.694673306144464, 0.9685170595460845, 0.7061870794059213, 75.30728187040827, 0.37881, 8.03392, 0.0, 0.0, 2
1.53124196, 10.73, 0.0, 2.10044, 69.81, 0.57753, 13.47998112622881, 0.005559564243433896, 0.1428, 2
1.52067204, 13.5496, 2.08785, 1.6703, 72.1788, 0.52785, 9.5726, 0.2709, 0.0867, 2
1.5177562, 13.52965, 3.40791, 1.51943, 72.0388, 0.57753, 9.034586472046698, 0.0, 0.0, 3
1.529811564001064, 13.1373, 3.44832, 1.76018, 72.4812, 0.60237, 15.756758618859287, 0.0, 0.0867, 3
1.51609326, 13.42325, 3.39893, 1.0420783861614946, 72.6884, 0.58995, 7.103608425695824, 0.0, 0.0, 3
1.5215149, 11.02925, 0.7472194708458193, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, 5
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 2.03843265097319, 11.31572, 0.7189313877068766, 0.0, 5
1.52171992, 13.028411523073077, 0.4414494325340375, 1.3490708899425974, 72.862, 0.47196, 11.41256, 0.0, 0.3988575376288168, 5
1.51937358, 13.789, 2.521306069630968, 1.1888, 72.7612, 0.0, 9.76628, 0.0, 0.0, 6
1.51130946, 13.68925, 3.20137, 1.81154, 72.8116, 1.75743, 13.038090422956294, 1.1907, 0.0, 7
1.5175514760155187, 14.883839423415214, 0.0, 1.93994, 73.07950711814442, 0.0, 8.47508, 1.5687, 0.0, 7
1.5151365, 14.853, 0.0, 2.42144, 73.7188, 0.0, 8.908315815748255, 3.017452530147846, 0.0, 7
1.5304828343152936, 14.2013, 0.0, 2.79059, 74.94495194938382, 2.622915923898787, 9.04536, 0.40005, 0.459, 7
1.51830292, 16.36721588011533, 0.0, 1.82117, 72.862, 2.5787157800325, 10.16693676184326, 2.8791, 0.0, 7
1.5143401766923792, 14.95275, 0.0, 1.7987, 71.28962925319551, 0.0, 8.61496, 1.5498, 0.26370838429166665, 7
1.51709558, 12.99765, 3.47077, 1.78907, 72.722, 0.65826, 8.18456, 2.3724717135477045, 0.0, 2
1.51689056, 12.6718, 2.87809, 3.154589316804099, 73.2092, 2.728704176314339, 8.53964, 0.0, 0.0, 2
1.5266404, 11.22875, 0.0, 1.0888566478548702, 73.2092, 0.0, 15.631705838488813, 0.0, 0.0, 2
1.5150470982857043, 12.95775, 2.95891, 1.42955, 72.918, 0.60237, 8.78712, 0.1386, 0.24058009326005822, 2
1.51916856, 14.1481, 1.123886366007823, 2.09081, 72.7388, 4.652384249435827, 10.88532, 2.596412697328816, 0.0, 6
1.51588824, 12.87795, 3.43036, 1.40066, 73.282, 0.68931, 11.239001223670552, 0.0, 0.1224, 1
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, 1
1.51720948, 16.079494025891062, 3.5022, 2.503213285331897, 72.8508, 0.50301, 8.43204, 0.0, 0.0, 1
1.51746006, 12.506688504516308, 3.5022, 3.4514704887316263, 73.2708, 0.9457649351553444, 8.5504, 0.0, 0.0, 1
1.5214488514343647, 12.81145, 3.56955, 1.3493, 73.0188, 0.621, 10.70356742116473, 0.0, 0.0, 1
1.5177562, 12.85135, 3.47975, 0.8518960844194274, 72.9684, 0.60858, 13.617752759360652, 0.09135, 0.1122, 1
1.51755118, 12.879042854481153, 3.74017, 1.16954, 71.47257987042484, 0.58995, 8.03392, 0.0, 0.43867466935391414, 1
1.51743728, 13.2969, 3.60098, 1.14065, 73.0916, 0.57753, 8.1738, 0.22547569673635895, 0.0, 1
1.52320062, 13.7225, 2.3007594927262423, 0.51149, 71.7476, 0.08694, 10.568, 0.0, 0.0816, 1
1.51807512, 13.4299, 2.4344292093241657, 1.1888, 72.8396, 0.55269, 9.0346, 0.0, 0.0, 1
1.5215149, 13.11735, 3.57853, 0.8999, 72.2012, 0.22977, 9.82008, 0.0, 0.0816, 1
1.51905466, 13.6028, 3.61894, 1.10855, 72.638, 0.14283, 8.75484, 3.017723473282001, 0.0, 1
1.52613924, 13.70255, 0.0, 1.35893, 71.238, 0.19251, 13.43544, 0.0, 0.39493631476418495, 2
1.51645774, 13.4432, 3.60996, 1.53869, 74.5202080380335, 0.65826, 8.03392, 0.0, 0.35195970660586834, 2
1.5231446049162594, 12.19965, 3.25076, 1.15991, 75.00780532205425, 0.621, 8.89472, 2.4751381996146256, 0.1224, 2
1.516992072137348, 13.78235, 0.7994750867247291, 1.42955, 71.9884, 0.49059, 14.139152764461274, 0.0, 0.3842103979164293, 2
1.51711836, 12.89125, 3.61894, 0.39494992405524243, 75.24673839732928, 4.566373103530233, 8.10924, 0.0, 0.0, 2
1.51613882, 13.922, 3.52016, 1.24979, 72.8788, 1.7041725513465171, 7.93708, 0.0, 0.0714, 2
1.51591102, 12.858, 3.52016, 2.1197, 71.87056312463724, 0.68931, 7.96936, 1.5779098436417778, 0.0, 2
1.5205104570456502, 16.850138598377846, 1.9830087353878212, 1.48091, 72.8396, 2.176753387746111, 8.09848, 0.0, 0.4998650393169059, 2
1.5170728, 13.4831, 3.47975, 2.792283351193714, 72.5204, 0.621, 7.99088, 0.0, 0.0, 2
1.5167311, 13.2969, 3.64139, 1.52906, 72.5316, 0.65205, 8.03392, 0.0, 0.1479, 2
1.52176548, 13.19715, 3.6818, 1.15028, 73.83261797227492, 0.54027, 8.51812, 0.0, 0.0, 2
1.51408862, 15.124775344162428, 3.08912, 2.08118, 72.2796, 1.09917, 6.645215742600899, 0.0, 0.0, 2
1.51659442, 12.991, 3.17892, 1.23053, 72.9684, 0.57753, 8.80864, 1.350707702001256, 0.1224, 2
1.5206582268118878, 13.33015, 3.52914, 1.33967, 72.6716, 0.5589, 8.3352, 0.0, 0.0, 3
1.51777898, 13.6427, 3.65037, 0.7782895572665821, 73.002, 0.0621, 8.927, 0.0, 0.0, 3
1.5193508, 13.6427, 3.53812, 3.4960134433642995, 72.6492, 3.898513928025149, 5.506220602410896, 0.1512, 0.1224, 3
1.5151365, 12.277134565805815, 2.68053, 3.5, 69.8884, 1.68291, 5.87116, 2.1987, 0.0, 5
1.51315464, 13.0176, 0.0, 3.04097, 70.482, 6.21, 6.95792, 0.0, 0.0, 5
1.51115, 17.38, 3.133906226077561, 0.34136, 75.41, 0.0, 6.64588, 0.0, 0.4026369188545823, 6
1.51887242, 14.99265, 0.78126, 1.74092, 72.498, 0.0, 9.9492, 0.0, 0.0, 6
1.5218167828946716, 14.2279, 0.0, 2.08118, 73.3604, 2.932103640779877, 8.61496, 2.362347102272871, 0.0, 7
1.516845, 14.9195, 3.76731846459846, 1.9913, 73.58, 0.0, 8.39976, 1.59075, 0.0, 7
1.5188162201823123, 13.889659226625147, 2.6232231059910784, 0.9184084059829842, 72.61, 0.08073, 9.18524, 1.06155, 0.0, 7
1.51837126, 14.321, 3.25974, 2.21921, 74.4077325597307, 4.119945487279898, 5.78508, 2.18956709628449, 0.17595361149542818, 7
1.51657164, 14.7998, 0.6923203486442381, 1.9913, 73.1084, 0.0, 8.893566534273226, 1.71045, 0.0, 7
1.51777898, 13.21045, 2.81074, 1.29152, 72.9796, 0.50922, 9.02384, 0.0, 0.459, 1
1.5174251960306697, 14.3609, 3.84793, 0.89027, 71.3612, 0.14904, 9.15296, 0.0, 0.0, 1
1.51848516, 13.6427, 3.87038, 1.26905, 71.9604, 0.54027, 8.32444, 2.1762972524334434, 0.1632, 2
1.51850794, 11.841182957447876, 3.62792, 1.07003, 72.65075692976842, 6.062817835165844, 8.41052, 0.09135, 0.0867, 2
1.5196925, 12.63855, 0.0, 1.65104, 73.7524, 0.37881, 14.721739796356237, 0.0, 0.2592510476008177, 5
