@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Site
@data
21.0, 10.34366846628107, 48.0, 5.0, 51.0, 28.0, 39.0, cp
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, cp
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, cp
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, cp
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, cp
61.0, 45.0, 48.0, 1.2075688802189122, 48.0, 35.0, 41.0, cp
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, cp
22.0, 36.0, 48.0, 5.0, 8.959617018923074, 39.0, 47.0, cp
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, cp
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, cp
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, cp
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, cp
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, cp
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, cp
8.6117727350471, 67.7113303525167, 48.0, 2.8757676924289592, 37.0, 28.0, 38.0, cp
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, cp
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, cp
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, cp
5.889153106810794, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, cp
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, cp
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, cp
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, cp
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, cp
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, cp
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, cp
17.0, 39.0, 48.0, 5.0, 53.0, 59.63254207829771, 39.0, cp
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, cp
59.012234098048005, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, cp
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, cp
23.0, 48.0, 48.0, 5.0, 59.0, 88.0, 89.0, im
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, im
27.0, 35.0, 48.0, 5.0, 51.0, 77.0, 79.0, im
12.0, 67.0, 48.0, 5.0, 74.0, 58.0, 63.0, im
54.0, 49.0, 48.0, 5.0, 4.0, 87.0, 88.0, im
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, im
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, im
12.0, 43.0, 48.0, 2.898973135719768, 63.0, 7.0, 74.0, im
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, im
