@relation  ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site{cp,im,imS,imL,imU,om,omL,pp}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Site
@data
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 12.491710942818715, cp
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 77.812716704284, cp
39.0, 32.0, 48.0, 5.0, 10.881661987603097, 24.0, 25.08191721702039, cp
23.0, 74.57135420259353, 48.0, 3.913973992437584, 39.0, 49.6784821398739, 38.0, cp
29.0, 37.0, 48.0, 4.597291343751664, 48.0, 44.0, 52.0, cp
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 2.322470071567798, cp
33.0, 45.0, 43.36964010199756, 5.0, 52.0, 32.0, 41.0, cp
21.525401536730445, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, cp
4.0, 35.0, 13.107065278130367, 5.0, 45.0, 90.44538641382134, 42.0, cp
47.0, 41.05921828422212, 48.0, 5.0, 51.0, 33.0, 43.0, cp
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, cp
51.07402408683534, 83.83126114537737, 48.0, 5.0, 27.945085779750972, 25.0, 35.0, cp
37.0, 5.0, 28.007522086614635, 5.0, 43.45834476022477, 36.0, 45.0, cp
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 57.1019030150729, cp
29.0, 47.0, 48.0, 5.0, 41.0, 5.137335517941354, 43.56215232018432, cp
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, cp
4.0, 86.31987883693536, 48.0, 3.959584660585873, 50.17619494771962, 82.11850213867578, 60.509030232557336, cp
22.735313924666332, 55.0, 17.571053374924475, 5.0, 41.43181943367976, 37.0, 28.0, cp
24.0, 57.0, 42.103643911449154, 3.3641470424747437, 52.45983204721935, 43.37661003027498, 43.0, cp
26.0, 60.71980140561233, 10.18218947508889, 5.0, 30.649847002385616, 32.0, 41.0, cp
44.143489964572595, 35.0, 48.0, 2.271148982753779, 51.0, 49.0, 86.5133044422868, cp
38.0, 78.37831221669407, 48.0, 5.0, 43.0, 29.0, 39.0, cp
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, cp
24.0, 41.0, 48.0, 3.7942170591080133, 49.0, 23.0, 34.0, cp
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, cp
34.0, 51.0, 48.0, 5.0, 44.0, 45.140160437938796, 69.34453785753449, cp
82.23814166133249, 7.6340109362811805, 48.0, 1.1464338619602923, 42.0, 48.0, 55.0, cp
26.0, 4.0, 48.0, 4.049751510622388, 36.0, 26.0, 37.0, cp
44.0, 35.0, 48.0, 5.0, 44.0, 88.65656898046299, 59.0, cp
46.0, 61.0, 48.0, 5.0, 48.0, 86.0, 87.0, im
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, im
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, im
45.0, 4.0, 48.0, 5.0, 61.0, 27.001835484523752, 77.0, im
5.0, 46.667533846727466, 48.0, 3.552096972836204, 66.0, 64.0, 69.0, im
83.0, 37.0, 48.0, 5.0, 61.0, 71.0, 74.0, im
42.0081179649588, 51.0, 48.0, 5.0, 33.0, 29.460772736105316, 48.0, im
7.0, 45.037668074489964, 48.0, 5.0, 56.0, 78.0, 10.069071908497502, im
63.0, 39.694915663612754, 48.0, 5.0, 82.22830615617062, 67.0, 71.0, im
48.26616735948859, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, im
5.0, 17.115913124549184, 48.0, 5.0, 52.32591936838019, 61.0, 66.0, im
86.10708040350748, 51.0, 48.0, 5.0, 61.0, 46.71851137902553, 74.0, im
39.601574058784536, 51.0, 13.404188310588754, 5.0, 71.0, 75.0, 78.0, im
0.0, 51.0, 48.0, 5.0, 35.0, 37.68579243698292, 44.0, im
3.0, 51.0, 45.03654921404937, 3.6343669748479424, 56.79691991228539, 61.0, 34.0, im
85.0, 53.0, 48.0, 5.0, 53.0, 52.0, 35.0, imS
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, imU
38.88187955875925, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, imU
84.0, 49.0, 6.830600256992178, 5.0, 55.0, 78.0, 74.0, imU
1.5888106319095963, 61.0, 30.794197271297268, 5.0, 56.0, 71.0, 74.0, imU
63.0, 51.0, 48.0, 5.0, 64.0, 72.0, 24.24906326766337, imU
79.0, 54.0, 48.0, 4.115110218318904, 44.42951462334709, 66.0, 45.16009107957596, imU
57.0, 86.84969539028819, 48.0, 5.0, 6.0, 21.14558844807222, 33.0, imU
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, om
67.0, 14.114914642906495, 48.0, 5.0, 74.0, 54.0, 37.0, om
56.0, 68.0, 1.28450770962157, 5.0, 77.0, 36.0, 45.0, om
25.895924910645917, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, om
56.79374298751209, 55.0, 28.784635688593763, 4.146880310761482, 56.85559119862867, 58.0, 16.0, omL
74.0, 49.0, 33.02645752556307, 5.0, 42.0, 54.0, 36.0, pp
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 34.76764278597376, pp
72.0, 86.0, 48.0, 5.0, 17.0, 55.0, 21.0, pp
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, pp
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, pp
63.0, 83.0, 48.0, 5.0, 16.721512135286236, 39.0, 19.0, pp
74.0, 47.0, 48.0, 5.0, 5.0, 57.0, 42.0, pp
75.0, 84.0, 48.0, 3.8046951728883887, 35.0, 52.0, 33.0, pp
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, pp
69.0, 59.0, 48.0, 5.0, 46.0, 8.476639775903113, 52.0, pp
56.0, 4.0, 48.0, 5.0, 15.920675160344848, 32.138766605672146, 46.0, cp
67.0, 22.68142253804985, 17.8704716006458, 5.0, 36.0, 38.0, 41.535223332824, cp
2.0, 44.0, 19.5734372533796, 4.370627916271479, 46.0, 51.0, 57.0, cp
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, cp
44.0, 27.0, 48.0, 5.0, 55.0, 83.03894342087185, 58.0, cp
4.0, 45.0, 48.0, 2.112471681347227, 38.0, 22.0, 11.02167449589392, cp
15.229323903617757, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, cp
32.0, 10.413646512295502, 46.37877973340889, 5.0, 35.0, 28.0, 12.22324595396017, cp
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, cp
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, cp
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, cp
54.0, 21.704035016406333, 47.65655100733427, 2.111224179414852, 28.0, 48.61364334603158, 42.0, cp
2.3601330885105143, 36.0, 36.067233967843286, 5.0, 41.0, 28.0, 38.0, cp
52.11479989767884, 41.0, 45.52886277402958, 5.0, 61.35838039157874, 47.0, 54.0, cp
