@relation  yeast
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.64, 0.62, 0.94032614551725, 0.15, 0.5, 0.0, 0.53, 0.22, MIT
0.2408328902187834, 0.44, 0.57, 0.13, 0.5, 0.0, 0.54, 0.22, NUC
0.55, 0.5, 0.66, 0.36, 0.5, 0.0, 0.49, 0.22, MIT
0.41, 0.53, 0.45, 0.9604719867837783, 0.9056249119820131, 0.7417204328956363, 0.52, 0.66, ME3
0.45, 0.46, 0.7444225199158355, 0.43, 0.5, 0.4759802297353698, 0.55, 0.38, NUC
0.34, 0.46, 0.57, 0.09, 0.5, 0.0, 0.55, 0.22, CYT
0.46, 0.49, 0.58, 0.23, 0.5, 0.7421912169252035, 0.44, 0.22, MIT
0.28, 0.58, 0.21, 0.13, 0.5, 0.0, 0.51, 0.22, ME3
0.8, 0.63, 0.45, 0.29, 0.5, 0.0, 0.51, 0.22, EXC
0.78, 0.75, 0.4, 0.28, 0.5, 0.0, 0.53, 0.22, MIT
0.64, 0.57, 0.57, 0.27, 0.5, 0.0, 0.37, 0.22, CYT
0.3, 0.32, 0.57, 0.19, 0.5, 0.0, 0.48, 0.55, NUC
0.45, 0.51, 0.5, 0.16, 0.5, 0.0, 0.52, 1.0, NUC
0.64, 0.62, 0.29, 0.28, 0.5, 0.0, 0.51, 0.22, MIT
0.55, 0.53, 0.55, 0.46, 0.5, 0.0, 0.52, 0.22, MIT
0.4, 0.62, 0.52, 0.31, 0.5, 0.0, 0.49, 0.31, CYT
0.35, 0.58, 0.54, 0.16, 0.6352950668975932, 0.0, 0.51, 0.22, NUC
0.34, 0.54, 0.5, 0.21, 0.5, 0.0, 0.54, 0.31, CYT
0.48, 0.54, 0.5, 0.17, 0.5, 0.0, 0.53, 0.22, NUC
